RF_runs_num,R2_train,RMSE_train,R2_test,RMSE_test
0,0.5832034362173707,11.774913620295779,0.2895276031049553,15.542618183250768
1,0.8744754431340119,6.499716753954602,0.3972190999638471,13.436337053887753
2,0.8784234378651801,6.268856266326565,0.28516559060534497,17.153772938568093
3,0.8826152906790291,6.294321646912611,0.32743797369439964,13.961342105260577
4,0.5900690111201405,11.344796706736982,0.33370353952366993,18.154784258386062
5,0.8744740412534051,6.478354906741694,0.34221025099008706,14.631445853219907
6,0.8820063632047697,6.350629778543037,0.2921616889718466,13.284419112153172
7,0.879022548734403,6.427231882369958,0.29400513421409913,13.596730739461686
8,0.8836973933502946,6.162702239718328,0.22663006845758338,17.471226477155763
9,0.8732830580288111,6.450188709143391,0.45365667662129605,14.292527253890265
